
2024/11/23 (02:19:44) | ===> btop++ v.1.4.0
2024/11/23 (02:19:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (02:24:00) | ===> btop++ v.1.4.0
2024/11/23 (02:24:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (02:24:14) | ===> btop++ v.1.4.0
2024/11/23 (02:24:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (02:29:55) | ===> btop++ v.1.4.0
2024/11/23 (02:29:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (02:51:49) | ===> btop++ v.1.4.0
2024/11/23 (02:51:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (02:56:58) | ===> btop++ v.1.4.0
2024/11/23 (02:56:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (03:05:09) | ===> btop++ v.1.4.0
2024/11/23 (03:05:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (04:22:56) | ===> btop++ v.1.4.0
2024/11/23 (04:22:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (12:43:39) | ===> btop++ v.1.4.0
2024/11/24 (12:43:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (12:53:07) | ===> btop++ v.1.4.0
2024/11/24 (12:53:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (12:54:48) | ===> btop++ v.1.4.0
2024/11/24 (12:54:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (13:42:43) | ===> btop++ v.1.4.0
2024/11/24 (13:42:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (13:58:23) | ===> btop++ v.1.4.0
2024/11/24 (13:58:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (19:15:19) | ===> btop++ v.1.4.0
2024/11/24 (19:15:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (21:06:57) | ===> btop++ v.1.4.0
2024/11/30 (21:06:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (22:34:04) | ===> btop++ v.1.4.0
2024/12/01 (22:34:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (22:34:07) | ===> btop++ v.1.4.0
2024/12/01 (22:34:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (22:46:17) | ===> btop++ v.1.4.0
2024/12/01 (22:46:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (02:45:32) | ===> btop++ v.1.4.0
2024/12/02 (02:45:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (03:18:00) | ===> btop++ v.1.4.0
2024/12/03 (03:18:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (23:48:32) | ===> btop++ v.1.4.0
2024/12/04 (23:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (20:54:23) | ===> btop++ v.1.4.0
2024/12/05 (20:54:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (18:50:06) | ===> btop++ v.1.4.0
2024/12/07 (18:50:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (00:10:07) | ===> btop++ v.1.4.0
2024/12/08 (00:10:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (00:26:12) | ===> btop++ v.1.4.0
2024/12/08 (00:26:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:04:41) | ===> btop++ v.1.4.0
2024/12/08 (02:04:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:13:25) | ===> btop++ v.1.4.0
2024/12/08 (02:13:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:13:39) | ===> btop++ v.1.4.0
2024/12/08 (02:13:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:17:05) | ===> btop++ v.1.4.0
2024/12/08 (02:17:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (02:17:45) | ===> btop++ v.1.4.0
2024/12/08 (02:17:45) | WARNING: Intel GPU: Failed to initialize PMU

